ID,Nombre estación,Dirección,Municipio,Latitud,Longitud,Tipo de uso (pública/privada),Numero de cargadores,Potencia (kW),Estándar,Numero por estandar,Tipo de corriente,Uso principal,Dentro de,Observaciones
1,Electric Vehicle Charging Station,"Edificio ocampo, Av. Benito Juárez 1102-Locales 25 y 26, Centro, 64000 Monterrey, N.L.",Monterrey,25.66527915,-100.3173825,Private,1,,J1772,1,,Edificio corporativo,Escenario GNP Seguros,Broken charger
2,Electric Vehicle Charging Station,"Fray Bartolomé de las Casas 107, Roble 2do Sector, 66450 San Nicolás de los Garza, N.L.",San Nicolás de los Garza,25.7512583,-100.3013368,Public,4,325kW;160kW,NACS;CCS,2;2,DC Ultra Fast,Espacio público,Independiente,Sin comentarios
3,BMW Destination Charging Station,"Av. Eugenio Garza Sada 2501-Sur, Sin Nombre 34, Distrito Tec, 64700 Monterrey, N.L.",Monterrey,25.65494486,-100.2894195,Private,10,7kW,Type 2,10,AC,Universidad,Independiente,Sin comentarios
4,Evergo Charging Station,"Av Lázaro Cárdenas 2506A, 66260 San Pedro Garza García, N.L.",San Pedro Garza Garcia,25.65066158,-100.3317626,Public,3,50kW;50kW;19kW,Unknown plug;CCS;J1772,1;1;1,DC Fast,Espacio público,Independiente,KIA vehicles only
5,Nissan Zero Emission Charging Station,"Mexico MX, Av. Gonzalitos 655, Fraccionamiento Gonzalitos, 64020 Monterrey, N.L.",Monterrey,25.685208,-100.3511494,Public,1,7kW,J1772,1,AC,Espacio público,Independiente,Short wait time
6,BMW Destination Charging Station,"Av San Jerónimo 813, San Jeronimo, 64640 Monterrey, N.L.",Monterrey,25.67630878,-100.3614315,Private,6,22kW;7kW,Type 2;Type 2,3;3,AC,Edificio corporativo,Arca Continental S.A.B. de C.V.,Sin comentarios
7,Nissan Zero Emission Charging Station,"Eje Metropolitano 9, Monterrey, 64020
",Monterrey,25.68660022,-100.3515887,Private,1,5kW,J1772,1,AC,Espacio público,Independiente,Sin comentarios
8,Electric Vehicle Charging Station,"Eje Metropolitano 30 1104, Miravalle, 64660 Monterrey, N.L.",Monterrey,25.67435804,-100.3661146,Public,1,,,1,,Espacio público,Independiente,Sin comentarios
9,ChargeNow CFE Charging Station,"Av Alfonso Reyes 2851, Col Del Prado, 64410 Monterrey, N.L.",Monterrey,25.70367411,-100.3154136,Public,1,7kW,J1772,1,AC,Espacio público,Independiente,Sin comentarios
10,Tesla Destination Charger,"Parque Fundidora Estacionamiento 10, C. Aramberri S/N, 64010 Monterrey, N.L.",Monterrey,25.67514113,-100.2905324,Public,2,10kW,Tesla,2,AC,Espacio público,Independiente,Only one out of two works
11,FAZT Charging Station,"Av Abraham Lincoln s/n, Mitras Nte., 64320 Monterrey, N.L",Monterrey,25.71497792,-100.3491899,Public,1,7kW,J1772,1,AC,Espacio público,Independiente,No physicial nor invoice support
12,FAZT Charging Station,"Blvd. Rogelio C Gomez, 901 B, Colinas de San Jerónimo, 64630 Monterrey, N.L.",Monterrey,25.69786664,-100.380175,Public,1,, ,1,,Espacio público,Independiente,"Bad customer service, good charging service"
